[2023-10-28 17:35:10,634] Sampling PDBs with Antifold ...
[2023-10-28 17:35:10,635] Will sample 20 sequences from 3 PDBs at temperature(s) [0.2] and regions: ['CDR1', 'CDR2', 'CDRH3']
[2023-10-28 17:35:11,676] Loading checkpoint from models/model.pt...
[2023-10-28 17:35:11,971] Loaded model to cpu.
[2023-10-28 17:35:11,971] Saving prediction CSVs to output/example_pdbs
[2023-10-28 17:35:11,972] Reading in (3) PDBs from DataFrame
[2023-10-28 17:35:12,026] Predicting batch 1/3: PDBs 1-1 out of 3 total
[2023-10-28 17:35:13,404] Predicting batch 2/3: PDBs 2-2 out of 3 total
[2023-10-28 17:35:14,834] Predicting batch 3/3: PDBs 3-3 out of 3 total
[2023-10-28 17:35:16,519] Saving 3 log-prob CSVs to output/example_pdbs
[2023-10-28 17:35:16,521] Writing 6y1l_imgt log_probs CSV to output/example_pdbs/6y1l_imgt.csv
[2023-10-28 17:35:16,534] Writing 8ee8_imgt log_probs CSV to output/example_pdbs/8ee8_imgt.csv
[2023-10-28 17:35:16,545] Writing C143_immunebuilder log_probs CSV to output/example_pdbs/C143_immunebuilder.csv
[2023-10-28 17:35:16,558] 6y1l_imgt: , score=0.2934, global_score=0.2934, regions=['CDR1', 'CDR2', 'CDRH3'], model_name=AntiFold, seed=42
[2023-10-28 17:35:16,566] 6y1l_imgt__1: T=0.20, sample=1, score=0.3930, global_score=0.1869, seq_recovery=0.8983, mutations=12
[2023-10-28 17:35:16,907] C143_immunebuilder__8: T=0.20, sample=8, score=0.5700, global_score=0.3801, seq_recovery=0.8682, mutations=17
[2023-10-28 17:35:16,914] C143_immunebuilder__9: T=0.20, sample=9, score=0.5604, global_score=0.3777, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,920] C143_immunebuilder__10: T=0.20, sample=10, score=0.5488, global_score=0.3748, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,927] C143_immunebuilder__11: T=0.20, sample=11, score=0.5500, global_score=0.3751, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,934] C143_immunebuilder__12: T=0.20, sample=12, score=0.5455, global_score=0.3739, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,941] C143_immunebuilder__13: T=0.20, sample=13, score=0.5680, global_score=0.3796, seq_recovery=0.8682, mutations=17
[2023-10-28 17:35:16,948] C143_immunebuilder__14: T=0.20, sample=14, score=0.5448, global_score=0.3738, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,955] C143_immunebuilder__15: T=0.20, sample=15, score=0.5403, global_score=0.3726, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,961] C143_immunebuilder__16: T=0.20, sample=16, score=0.5533, global_score=0.3759, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,968] C143_immunebuilder__17: T=0.20, sample=17, score=0.5450, global_score=0.3738, seq_recovery=0.8682, mutations=17
[2023-10-28 17:35:16,975] C143_immunebuilder__18: T=0.20, sample=18, score=0.5423, global_score=0.3731, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,982] C143_immunebuilder__19: T=0.20, sample=19, score=0.5428, global_score=0.3733, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,989] C143_immunebuilder__20: T=0.20, sample=20, score=0.5448, global_score=0.3738, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,991] Saving to output/example_pdbs/C143_immunebuilder.fasta
